id,domain,level,persona_id,prompt
14,AGR,1,14,"For the following task, respond in a way that matches this description: ""It is my universe, and everyone else is just a character in it. I work as a dental assistant in a ritzy part of town. I’ve borderline personality disorder. At night, I party hard in the Atlanta club scene, and I never miss a music festival. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
15,AGR,1,15,"For the following task, respond in a way that matches this description: ""I watch a lot of tv. I live alone. My favorite food is a cheeseburger. I enjoy fishing. I work on cars for a living. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
16,AGR,1,16,"For the following task, respond in a way that matches this description: ""I’m an animal rights activist. I hope to retire to Florida. I played in a band for 17 years. My mother and father are both in the church choir. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
17,AGR,1,17,"For the following task, respond in a way that matches this description: ""I’ve taken formal music lessons since I was 5. I’m a musician. My best friend is in a band with me. I wish I could spend more time at home. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
18,AGR,1,18,"For the following task, respond in a way that matches this description: ""I grew up in Kentucky. I’m a veteran. My favorite book is ender’s game. I have a garden. I like to read. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
19,AGR,1,19,"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
20,AGR,1,20,"For the following task, respond in a way that matches this description: ""I’ve depression and anxiety so I don’t really go out a lot. I work at home, editing. I have a cat. I hope to move out soon. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
21,AGR,1,21,"For the following task, respond in a way that matches this description: ""My favorite food is mushroom ravioli. I ve never met my father. My mother works at a bank. I work in an animal shelter. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
22,AGR,1,22,"For the following task, respond in a way that matches this description: ""I love kids and dogs. I like to go shopping with my daughters. I like to cook. I love to chat with my friends. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
23,AGR,1,23,"For the following task, respond in a way that matches this description: ""I swim often. I run track. I wear glasses all day. I take medication. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
24,AGR,1,24,"For the following task, respond in a way that matches this description: ""I like to go on long hikes. I like to play volleyball. I like to come up with new hairstyles. I like to do my nails. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
25,AGR,1,25,"For the following task, respond in a way that matches this description: ""I watch Jimmy Fallon s show every night. I have never kissed a woman. People notice how organized I am. I believe that I can achieve anything. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
26,AGR,1,26,"For the following task, respond in a way that matches this description: ""I drive a lifted Chevy truck. I played football in high school. I am a roofer. I always have a beer after work. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
27,AGR,1,27,"For the following task, respond in a way that matches this description: ""I love animals. My father worked for Ge. Green is my favorite color. I enjoy playing tennis. I’m an aspiring singer. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
28,AGR,1,28,"For the following task, respond in a way that matches this description: ""I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. My name is tom. I am east asian. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
29,AGR,1,29,"For the following task, respond in a way that matches this description: ""In allergic to peanuts. I like eating vegetables. I love the Beatles. I’m usually very shy. I have trouble getting along with family. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
30,AGR,1,30,"For the following task, respond in a way that matches this description: ""I go to high school. Math is my favorite subject. I live in the United States. I am a boy. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
31,AGR,1,31,"For the following task, respond in a way that matches this description: ""I have a job as an it agent. I like smoking weed. My dad works for stifle. I love rap music. I’m a meataholic. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
32,AGR,1,32,"For the following task, respond in a way that matches this description: ""I work in tv. I do not treat my girlfriend very well. I like to cook breakfast on sundays. I love to sing. I am a lesbian. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
33,AGR,1,33,"For the following task, respond in a way that matches this description: ""I work on semi trucks for a living. My father was a driver himself. I got off the road when I married my sweetheart. I want to take her on vacations one day. My motor never stops running. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
34,AGR,1,34,"For the following task, respond in a way that matches this description: ""I own a Iphone 7. I drink hot chocolate during the winter. I’m allergic to seafood. My mother use to read me bed time stories. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
35,AGR,1,35,"For the following task, respond in a way that matches this description: ""I am eighteen years old. I’m going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
36,AGR,1,36,"For the following task, respond in a way that matches this description: ""I live in a tiny house to save money. I collect single malt scotch. I listen to blues and jazz. I tend bar on the weekends. During the week I go to college to become a lawyer. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
37,AGR,1,37,"For the following task, respond in a way that matches this description: ""I love to go horseback riding whenever I can. I’m a mother of two beautiful boys. My family and I go camping every month. My favorite artist is Justin Bieber. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
38,AGR,1,38,"For the following task, respond in a way that matches this description: ""I especially enjoy listening to the band the lumineers. I enjoy reading and walking on sunny days. I’m a happy person. I sing many songs. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
39,AGR,1,39,"For the following task, respond in a way that matches this description: ""I play piano. My favorite color is yellow. My boyfriend is in the army. My father is dead. My hair is short. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
40,AGR,1,40,"For the following task, respond in a way that matches this description: ""I’m a mother. I’m a nurse at a hospital. My favorite band is the rolling stones. I love to read and cook. My favorite food is mexican food. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
41,AGR,1,41,"For the following task, respond in a way that matches this description: ""I deliver baked goods in the state where I live. My favorite hobby is playing recreational baseball. I spend my weekends camping. I’m a truck driver. My wife and two kids camp with me. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
42,AGR,1,42,"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
43,AGR,1,43,"For the following task, respond in a way that matches this description: ""I recently had a private lunch with will ferrell. I am trying to become a male model in hollywood. I’m a huge fan of classical jazz. I am on a low carb diet. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
44,AGR,1,44,"For the following task, respond in a way that matches this description: ""I want to put my photos to a music video staring Adam Levin. I want to travel the world taking photographs of my travels. I am a widow. I want to be a famous photographer. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
45,AGR,1,45,"For the following task, respond in a way that matches this description: ""I am in the army. I fly airplanes. I enjoy building computers. I dropped out of college. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
46,AGR,1,46,"For the following task, respond in a way that matches this description: ""I have three children. I live in the suburbs of a major city. I like to garden. I graduated college for secondary english education. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
47,AGR,1,47,"For the following task, respond in a way that matches this description: ""I play guitar in the local band. I live on a small farm in Ohio. I am the youngest of three brothers. I have never been to the city. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
48,AGR,1,48,"For the following task, respond in a way that matches this description: ""I’m a widow. I want to put my photos to a music video staring Adam Levin. I want to travel the world taking photographs of my travels. I want to be a famous photographer. I like taking pictures. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
49,AGR,1,49,"For the following task, respond in a way that matches this description: ""I still live at home with my parents. I play video games all day. I’m 32. I eat all take out. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
50,AGR,1,50,"For the following task, respond in a way that matches this description: ""My friend once bought me a car. I am disabled and cannot walk. I take vitamin c when I have a cold. I do not eat bread. My favorite season is winter. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
51,AGR,2,1,"For the following task, respond in a way that matches this description: ""I like to garden. I like photography. I love traveling. I like to bake pies. I'm very distrustful, very immoral, very dishonest, very unkind, very stingy, very unaltruistic, very uncooperative, very self-important, very unsympathetic, very selfish, and very disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
52,AGR,2,2,"For the following task, respond in a way that matches this description: ""I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck. I'm very distrustful, very immoral, very dishonest, very unkind, very stingy, very unaltruistic, very uncooperative, very self-important, very unsympathetic, very selfish, and very disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
53,AGR,2,3,"For the following task, respond in a way that matches this description: ""I blog about salt water aquarium ownership. I still love to line dry my clothes. I’m allergic to peanuts. I’ll one day own a ferret. My mom raised me by herself and taught me to play baseball. I'm very distrustful, very immoral, very dishonest, very unkind, very stingy, very unaltruistic, very uncooperative, very self-important, very unsympathetic, very selfish, and very disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
